order_id,order_time,main_dish,order_price,restaurant_lat,restaurant_lng,customer_lat,customer_lng,delivery_neighborhood,weather,traffic_level,restaurant_busy_level,courier_name,courier_vehicle,customer_first_name,app_version,delivery_time_minutes
DT04768,2026-02-08 08:52:31,poke_bowl,47.49,-23.561684,-46.655981,-23.576519,-46.680050,Itaim Bibi,rain,low,low,Gabriel,bike,Julia,5.20.0,56
DT01115,2026-03-11 14:46:39,ramen,46.41,-23.561684,-46.655981,-23.537814,-46.573183,Tatuape,storm,low,low,Carla,motorcycle,Otavio,5.20.0,71
DT00061,2026-03-29 13:56:10,feijoada,52.50,-23.561684,-46.655981,-23.543447,-46.661227,Perdizes,cloudy,low,medium,Marcos,motorcycle,Yasmin,6.0.0,50
DT02173,2026-04-17 12:15:02,ramen,38.13,-23.561684,-46.655981,-23.537306,-46.673415,Perdizes,cloudy,medium,medium,Julia,motorcycle,Bruno,5.21.2,49
DT04066,2026-02-27 14:09:33,classic_burger,37.22,-23.561684,-46.655981,-23.540271,-46.576867,Tatuape,clear,low,low,Bruno,motorcycle,Igor,5.20.0,50
DT00797,2026-01-30 11:44:09,smash_burger,27.81,-23.561684,-46.655981,-23.576266,-46.674688,Jardins,cloudy,low,low,Nina,car,Carla,5.22.0,38
DT00824,2026-05-22 13:16:21,margherita_pizza,50.55,-23.561684,-46.655981,-23.570915,-46.709102,Butanta,cloudy,medium,low,Helena,motorcycle,Bruno,6.0.0,54
DT03556,2026-04-03 12:11:23,smash_burger,28.56,-23.561684,-46.655981,-23.575939,-46.634303,Liberdade,cloudy,high,medium,Diego,motorcycle,Natalia,6.0.0,51
DT04051,2026-05-22 09:51:42,feijoada,41.04,-23.561684,-46.655981,-23.653563,-46.718945,Santo Amaro,cloudy,medium,medium,Diego,motorcycle,Diego,5.21.2,88
DT04394,2026-01-23 12:16:16,feijoada,45.23,-23.561684,-46.655981,-23.533773,-46.667744,Perdizes,cloudy,medium,medium,Ana,motorcycle,Bruno,6.0.0,57
DT03118,2026-02-17 13:49:03,grilled_chicken,37.88,-23.561684,-46.655981,-23.554856,-46.646832,Consolacao,cloudy,medium,low,Elisa,bike,Diego,5.19.1,41
